Cod Registro;0001 Ceramica a mano;Peso 0001;0002 Barniz Negro;Peso 0002;0003 Ceramica Pintada;Peso 003;0004 Ceramica Gris;Peso 004;0005 Ceramica de Cocina;Peso 0005;0006 Ceramica Comun;Peso 0006;0007 Mortero;Peso 0007;0008 Fusayola;Peso 0008;0009 Campaniense;Peso 0009;0010 T.S. Italica;Peso 0010;0011 Marmorata;Peso 0011;0012 T.S. Sudgalica;Peso 0012;0013 T.S. Hispanica;Peso 0013;0014 T.S. Africana;Peso 0014;0015 T.S. Meridional;Peso 0015;0016 Paredes finas;Peso 0016;0017 Cascara de huevo;Peso 0017;0018 Paleocristiana;Peso 0018;0019 Vidriada;Peso 0019;0020 Lucernas;Peso 0020;0021 Anforas;Peso 0021;0022 T.S. Aretina;Peso 0022;0023 T.S. Focense;Peso 0023;0024 T.S. Hispanica tardia;Peso 0024;0025 Lucente;Peso 0025;0026 Terracota;Peso 0026;0098 Otras ceramicas;Peso 0098;0099 Residuos;Peso 0099;0101 Tagula;Peso 0101;0102 Ambrice;Peso 0102;0103 ladrillo;Peso 0103;0104 Adobe;Peso 0104;0105 Cornisa;Peso 0105;0106 Revestimiento;Peso 0106;0107 Estuco;Peso 0107;0108 Pavimento;Peso 0108;0109 Sillar;Peso 0109;0110 Basa;Peso 0110;0111 Fuste;Peso 0111;0112 Capitel;Peso 0112;0113 Arquitrabe;Peso 0113;0114 Friso;Peso 0114;0115 Losa;Peso 0115;0116 Pintura mural;Peso 0116;0117 Muro;Peso 0117;Codigo_estrato;X1;Y1;X2;Y2;X3;Y3;X4;Y4;Z1;Z2;Z3;Z4;Nivel;
="0012000822";0;0,00;0;0,00;1;4,30;0;0,00;2;41,30;4;41,80;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;5;16,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000066";445240.79;4209944.51;445243.56;4209945.62;445244.62;4209942.77;445241.88;4209941.62;318.32;318.31;318.23;318.21;="00";
="0012000823";1;16,60;0;0,00;4;70,00;3;28,40;22;342,30;145;1855,00;1;20,00;0;0,00;1;3,90;0;0,00;0;0,00;0;0,00;6;46,50;1;6,70;8;45,00;0;0,00;0;0,00;0;0,00;3;19,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;301;991,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000067";445240.79;4209944.51;445243.56;4209945.62;445244.62;4209942.77;445241.88;4209941.62;318.31;318.3;318.22;318.2;="01";
="0012000832";0;0,00;0;0,00;14;36,00;1;16,10;38;535,00;204;2960,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;33,30;0;0,00;7;50,10;0;0,00;0;0,00;0;0,00;5;44,90;0;0,00;1;165,70;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1004;2880,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000090";445152.49;4209844.17;445153.8;4209843.97;445153.21;4209839.95;445151.9;4209840.18;314.36;314.31;314.39;314.39;="01";
="0012000864";3;38,00;0;0,00;15;115,00;0;0,00;20;267,00;380;5400,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;11;82,00;4;35,00;28;211,00;1;6,00;0;0,00;0;0,00;8;108,00;3;24,00;3;403,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2489;9350,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000069";445165.51;4209870.76;445164.2;4209884.92;445159.27;4209865.53;445160.52;4209871.38;315.38;315.15;315.12;315.39;="01";
="0012000880";0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;36,10;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;4,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;14,90;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000070";445240.79;4209944.51;445243.56;4209945.62;445244.62;4209942.77;445241.88;4209941.62;318.2;318.22;318.18;318.15;="02";
="0012000884";1;10,20;0;0,00;7;87,90;0;0,00;7;268,90;31;580,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;4,70;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;78;212,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000038";445152.34;4209842.02;445153.37;4209840.85;445153.25;4209839.93;445152.06;4209840.15;;;;;="00";
="0012000897";6;109,80;0;0,00;25;345,00;1;19,30;0;0,00;56;1370,00;1;17,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;56,00;0;0,00;12;162,00;0;0,00;0;0,00;0;0,00;1;9,60;1;9,60;7;790,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1228;14160,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000071";445165.51;4209870.76;445164.2;4209884.92;445159.27;4209865.53;445160.52;4209871.38;315.23;315.03;314.99;315.21;="02";
="0012000902";4;33,60;0;0,00;6;68,90;0;0,00;4;42,50;12;320,90;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;8;25,30;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000072";445242.63;4209945.2;445243.46;4209945.51;445244.16;4209943.7;445243.31;4209943.42;317.97;317.98;317.94;317.9;="00";
="0012000908";0;0,00;0;0,00;4;29,40;0;0,00;1;11,70;13;132,30;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;3,70;0;0,00;3;17,80;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;15;48,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000074";445242.63;4209945.2;445243.46;4209945.51;445244.16;4209943.7;445243.31;4209943.42;317.79;317.81;317.78;317.82;="01";
="0012000915";3;57,40;0;0,00;13;175,30;0;0,00;11;293,20;96;1085,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;22,30;1;1,80;0;0,00;0;0,00;0;0,00;2;11,70;2;211,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;438;1220,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000076";445153.8;4209843.83;445153.41;4209841.23;445152.3;4209841.72;445152.66;4209843.96;314.1;313.86;313.98;314.05;="00";
