Codigo_estrato;0001 Ceramica a mano;Peso 0001;0002 Barniz Negro;Peso 0002;0003 Ceramica Pintada;Peso 003;0004 Ceramica Gris;Peso 004;0005 Ceramica de Cocina;Peso 0005;0006 Ceramica Comun;Peso 0006;0007 Mortero;Peso 0007;0008 Fusayola;Peso 0008;0009 Campaniense;Peso 0009;0010 T.S. Italica;Peso 0010;0011 Marmorata;Peso 0011;0012 T.S. Sudgalica;Peso 0012;0013 T.S. Hispanica;Peso 0013;0014 T.S. Africana;Peso 0014;0015 T.S. Meridional;Peso 0015;0016 Paredes finas;Peso 0016;0017 Cascara de huevo;Peso 0017;0018 Paleocristiana;Peso 0018;0019 Vidriada;Peso 0019;0020 Lucernas;Peso 0020;0021 Anforas;Peso 0021;0022 T.S. Aretina;Peso 0022;0023 T.S. Focense;Peso 0023;0024 T.S. Hispanica tardia;Peso 0024;0025 Lucente;Peso 0025;0026 Terracota;Peso 0026;0098 Otras ceramicas;Peso 0098;0099 Residuos;Peso 0099;0101 Tagula;Peso 0101;X1;Y1;X2;Y2;X3;Y3;X4;Y4;Z1;Z2;Z3;Z4;Nivel;Peso_total;Numero_piezas
;23;467.7;1;25.0;63;583.9;5;119.5;118;1508.4;422;4836.3;3;34.6;0;0.0;1;1.0;0;0.0;0;0.0;0;0.0;33;230.4;2;16.7;5;57.2;4;10.399999999999999;1;1.7;0;0.0;0;0.0;4;28.2;4;232.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;6;195.0;822;2594.5;0;0.0;445133.47;4209855.77;445135.45;4209855.49;445135.16;4209853.51;445133.19;4209853.79;313.93;313.94;313.89;313.88;-1.0;10942.899999999998;1517
000038;1;10.2;0;0.0;7;87.9;0;0.0;7;268.9;31;580.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;4.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;78;212.4;0;0.0;445152.34;4209842.02;445153.37;4209840.85;445153.25;4209839.93;445152.06;4209840.15;;;;;0.0;1164.1000000000001;125
000066;0;0.0;0;0.0;1;4.3;0;0.0;2;41.3;4;41.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;5;16.4;0;0.0;445240.79;4209944.51;445243.56;4209945.62;445244.62;4209942.77;445241.88;4209941.62;318.32;318.31;318.23;318.21;0.0;103.79999999999998;12
000067;1;16.6;0;0.0;4;70.0;3;28.4;22;342.3;145;1855.0;1;20.0;0;0.0;1;3.9;0;0.0;0;0.0;0;0.0;6;46.5;1;6.7;8;45.0;0;0.0;0;0.0;0;0.0;3;19.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;301;991.6;0;0.0;445240.79;4209944.51;445243.56;4209945.62;445244.62;4209942.77;445241.88;4209941.62;318.31;318.3;318.22;318.2;1.0;3445.4;496
000069;3;38.0;0;0.0;17;126.8;1;10.0;26;341.8;405;5760.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;11;82.0;4;35.0;28;211.0;1;6.0;0;0.0;0;0.0;8;108.0;3;24.0;3;403.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2582;9713.3;0;0.0;445165.51;4209870.76;445164.2;4209884.92;445159.27;4209865.53;445160.52;4209871.38;315.38;315.15;315.12;315.39;1.0;16859.3;3092
000070;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;4;36.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;4.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;4;14.9;0;0.0;445240.79;4209944.51;445243.56;4209945.62;445244.62;4209942.77;445241.88;4209941.62;318.2;318.22;318.18;318.15;2.0;55.6;9
000071;32;689.4;0;0.0;80;939.9;10;146.6;67;1229.9;452;7763.0;3;48.400000000000006;0;0.0;0;0.0;0;0.0;0;0.0;2;20.45;9;71.0;0;0.0;23;239.9;0;0.0;0;0.0;0;0.0;1;9.6;4;22.299999999999997;15;1295.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2286;18598.4;0;0.0;445165.51;4209870.76;445164.2;4209884.92;445159.27;4209865.53;445160.52;4209871.38;315.23;315.03;314.99;315.21;2.0;31074.550000000003;2984
000072;4;33.6;0;0.0;8;80.0;0;0.0;5;46.6;32;925.5;2;33.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;12.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;275.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;21;69.1;0;0.0;445242.63;4209945.2;445243.46;4209945.51;445244.16;4209943.7;445243.31;4209943.42;317.97;317.98;317.94;317.9;0.0;1475.3;78
000074;0;0.0;0;0.0;4;29.4;0;0.0;1;11.7;13;132.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;3.7;0;0.0;3;17.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;15;48.6;0;0.0;445242.63;4209945.2;445243.46;4209945.51;445244.16;4209943.7;445243.31;4209943.42;317.79;317.81;317.78;317.82;1.0;243.5;37
000075;1;90.7;0;0.0;0;0.0;0;0.0;8;103.9;10;293.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;3.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;380.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;24;104.1;0;0.0;445242.63;4209945.2;445243.46;4209945.51;445244.16;4209943.7;445243.31;4209943.42;317.63;317.6;317.8;317.9;2.0;975.9;46
